"ntd_id","agency","incident_description","mode","type_of_service","rail_bus_ferry","fixed_route_flag","year","incident_number","incident_date","incident_time","event_type","runaway_train_flag","safety_security","collision_with","property_damage","property_damage_type","total_injuries","total_fatalities","derailment_type","number_of_transit_vehicles","towed_y_n","number_of_vehicles_involved","number_of_derailed_cars","event_location","approximate_address","longitude","latitude","evacuation_comment","self_evacuation_y_n","evacuation_location","hazmat_type","hazmat_type_description","fire_type","fire_fuel","other_fire_fuel_description","weather","lighting","current_condition","tide","road_config","configuration","path_condition","rail_alignment","rail_grade_crossing_control","right_of_way_condition","intersection","service_stop_control_device","intentional_y_n","vehicle_action","action_type","transit_y_n","fuel_type","vehicle_speed","non_rail_transit_vehicle","manufacturer","manufacturer_description","other_involved_veh","other_vehicle_action","transit_vehicle_rider","people_waiting_or_leaving","transit_vehicle_operator","transit_employee_fatalities","other_worker_fatalities","bicyclist_fatalities","pedestrian_in_crosswalk","pedestrian_not_in_crosswalk","pedestrian_crossing_tracks","pedestrian_walking_along","occupant_of_other_vehicle","other_fatalities","suicide_fatalities","transit_vehicle_rider_injuries","transit_vehicle_rider_serious","people_waiting_or_leaving_1","people_waiting_or_leaving_2","transit_vehicle_operator_1","transit_vehicle_operator_2","transit_employee_injuries","transit_employee_serious","other_worker_injuries","other_worker_serious_injuries","bicyclist_injuries","bicyclist_serious_injuries","pedestrian_in_crosswalk_1","pedestrian_in_crosswalk_2","pedestrian_not_in_crosswalk_1","pedestrian_not_in_crosswalk_2","pedestrian_crossing_tracks_1","pedestrian_crossing_tracks_2","pedestrian_walking_along_1","pedestrian_walking_along_2","occupant_of_other_vehicle_1","occupant_of_other_vehicle_2","other_injuries","other_serious_injuries","suicide_injuries","suicide_serious_injuries","person_list"
"90134","Peninsula Corridor Joint Powers Board","Trespasser was struck by a northbound train . The engineer observed the individual standing on the tracks . It is not known at this time if it was a suicide or an accident .","CR","PT","Rail","true","2008","817106","2008-01-28","15:10:25","Suicide",,"SEC",,"0",,"0","1",,"0","N","0",,"Other","North of Hayward Park Station, MP 19.0",,,,"N",,,,,,,,,,,,,,,,,,,"N",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Ped Walking Tracks 36 - 45 F"
"20080","New Jersey Transit Corporation","Added based on SSO reports for ntd / sso alignment .","CR","DO","Rail","true","2009","2040355","2009-03-12","13:11:00","Suicide",,"SEC",,"0",,"1","0",,"0","N","0",,"Other","40 TEMPLE AVE HACKENSACK BERGN NJ: EST",,,,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","I   Ped Walking Tracks Adult (19 to 60) M"
"90134","Peninsula Corridor Joint Powers Board","<REDACTED> was contacted and made suicidal statements . Subject admitted to not taking insulin and depression medicine because he could not afford it . a 72 - hour hold was completed and the subject was transported via a SMART car to < REDACTED > General Hospital for evaluation .","CR","PT","Rail","true","2008","817641","2008-01-20","15:59:10","Suicide",,"SEC",,"0",,"1","0",,"0","N","0",,"Other","North of San Carlos Station near MP 22.1",,,,"N",,,,,,,,,,,,,,,,,,,"N",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","I   Ped Walking Tracks 46 - 60 M"
"90134","Peninsula Corridor Joint Powers Board","a trespasser was struck by a southbound train , but the incident went unnoticed until a later train passed through about an hour later . Probable suicide .","CR","PT","Rail","true","2008","818508","2008-01-07","19:25:19","Suicide",,"SEC",,"0",,"0","1",,"0","N","0",,"Other","North of Whipple Ave, Redwood City, near MP 24.7",,,,"N",,,,,,,,,,,,,,,,,,,"N",,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Ped Walking Tracks 13 - 17 M"
"20080","New Jersey Transit Corporation","Added based on SSO reports for ntd / sso alignment .","CR","DO","Rail","true","2010","2040434","2010-01-08","21:54:00","Suicide",,"SEC",,"0",,"0","1",,"0","N","0",,"Other","HARRISON INTERLOCKING MP 7.1 MORR",,,,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Ped Walking Tracks Adult (19 to 60) M"
"20080","New Jersey Transit Corporation","Added based on SSO reports for ntd / sso alignment .","CR","DO","Rail","true","2010","2040435","2010-01-22","16:56:00","Suicide",,"SEC",,"0",,"1","0",,"0","N","0",,"Other","LL(-74:11:33.1682,40:42:39.1316)",,,,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","I   Wait Leave Adult (19 to 60) M"
"20080","New Jersey Transit Corporation","Added based on SSO reports for ntd / sso alignment .","CR","DO","Rail","true","2010","2040436","2010-01-24","23:22:00","Assault",,"SEC",,"0",,"1","0",,"0","N","0",,"Revenue facility: transit station","Trenton City MP 56.7",,,,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","I   Wait Leave Adult (19 to 60) M"
"20080","New Jersey Transit Corporation","Added based on SSO reports for ntd / sso alignment .","CR","DO","Rail","true","2010","2040437","2010-02-03","12:00:00","Suicide",,"SEC",,"0",,"0","1",,"0","N","0",,"Other","PRINCETON JUNCTION MP 47.1:WEST OF STATION",,,,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Ped Walking Tracks Adult (19 to 60) M"
"20080","New Jersey Transit Corporation","Added based on SSO reports for ntd / sso alignment .","CR","DO","Rail","true","2010","2040438","2010-02-21","01:54:00","Assault",,"SEC",,"0",,"1","0",,"0","N","0",,"Revenue facility: transit station","Secaucus Junction MP 5.0",,,,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","I   Wait Leave Adult (19 to 60) M"
"20080","New Jersey Transit Corporation","Added based on SSO reports for ntd / sso alignment .","CR","DO","Rail","true","2010","2040439","2010-03-01","11:26:00","Suicide",,"SEC",,"0",,"0","1",,"0","N","0",,"Other","VOSSELER AVENUE CROSSING MP 30.7 RVL",,,,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F   Ped Walking Tracks Adult (19 to 60) M"
